ID,name,Type
3,Journal of Hydraulic Engineering,Journal
4,Journal of Computing and Information Science in Engineering,Journal
9,International Journal of Electrical Power and Energy Systems,Journal
11,Journal of Cleaner Production,Journal
12,Journal of Manufacturing Processes,Journal
16,Journal of Nondestructive Evaluation,Journal
24,International Journal of Robotics Research,Journal
25,Journal of Water Process Engineering,Journal
27,"Journal of Mechanical Design, Transactions of the ASME",Journal
28,IEEE/CAA Journal of Automatica Sinica,Journal
29,Journal of Biomechanical Engineering,Journal
30,Noise Control Engineering Journal,Journal
36,"Navigation, Journal of the Institute of Navigation",Journal
37,Journal of Science Education and Technology,Journal
42,Journal of Micromechanics and Microengineering,Journal
46,International Journal of Bifurcation and Chaos,Journal
55,Journal of Bridge Engineering,Journal
60,International Journal of Machine Tools and Manufacture,Journal
62,Journal of Manufacturing and Materials Processing,Journal
64,Journal of Electromagnetic Waves and Applications,Journal
65,Journal of Microelectromechanical Systems,Journal
66,Journal of Materials Science,Journal
67,International Journal of Heat and Mass Transfer,Journal
70,Journal of Energy Storage,Journal
73,"Journal of Biomaterials Science, Polymer Edition",Journal
74,Journal of Nanobiotechnology,Journal
77,Journal of Composite Materials,Journal
82,AIAA Journal,Journal
84,Journal of Dynamic Behavior of Materials,Journal
85,Journal of Aerospace Information Systems,Journal
88,Journal of Fluid Mechanics,Journal
91,IEEE Journal of Oceanic Engineering,Journal
96,Journal of Operations Management,Journal
100,"Journal of Fluids Engineering, Transactions of the ASME",Journal
112,International Journal of Modelling and Simulation,Journal
115,Journal of Construction Engineering and Management,Journal
123,Journal of Cognitive Engineering and Decision Making,Journal
126,IEEE Journal of Biomedical and Health Informatics,Journal
136,Journal of Structural Engineering (United States),Journal
139,"Journal of Applied Mechanics, Transactions ASME",Journal
145,Journal of Mechanics in Medicine and Biology,Journal
151,International Journal of Plasticity,Journal
154,Journal of Biological Engineering,Journal
163,Journal of Mechanisms and Robotics,Journal
165,Journal of Air Transportation,Journal
166,Journal of Heat Transfer,Journal
167,Journal of Materials Science and Technology,Journal
171,Rapid Prototyping Journal,Journal
172,Journal of Materials Processing Technology,Journal
176,Journal of Biomechanics,Journal
180,Journal of the Mechanical Behavior of Biomedical Materials,Journal
190,Journal of Aircraft,Journal
205,"Journal of Guidance, Control, and Dynamics",Journal
214,IEEE Journal of Selected Topics in Quantum Electronics,Journal
220,"Journal of Micro/ Nanolithography, MEMS, and MOEMS",Journal
225,International Journal of Masonry Research and Innovation,Journal
226,Turkish Journal of Electrical Engineering and Computer Sciences,Journal
230,Journal of Materials Research,Journal
231,Journal of Adhesion,Journal
235,Journal of Spacecraft and Rockets,Journal
244,"Journal of Electronic Packaging, Transactions of the ASME",Journal
246,Chinese Journal of Mechanical Engineering (English Edition),Journal
250,Journal of Constructional Steel Research,Journal
251,Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,Journal
254,Biochemical Engineering Journal,Journal
258,International Journal of Construction Education and Research,Journal
260,Journal of Defense Modeling and Simulation,Journal
263,International Journal of Technology and Design Education,Journal
276,Journal of Engineering Education,Journal
277,"Journal of Astronomical Telescopes, Instruments, and Systems",Journal
280,IEEE Journal of Quantum Electronics,Journal
286,International Journal on Interactive Design and Manufacturing,Journal
287,Journal of Homeland Security and Emergency Management,Journal
290,Journal of Biophotonics,Journal
295,Fire Safety Journal,Journal
312,International Journal of Designed Objects,Journal
316,Journal of Thermophysics and Heat Transfer,Journal
319,International Journal of Engineering Education,Journal
333,Journal of Healthcare Engineering,Journal
339,Journal of Sound and Vibration,Journal
340,Journal of Reinforced Plastics and Composites,Journal
341,IEEE Sensors Journal,Journal
346,Journal of Professional Issues in Engineering Education and Practice,Journal
347,Journal of Traffic and Transportation Engineering (English Edition),Journal
349,Measurement: Journal of the International Measurement Confederation,Journal
350,Journal of Technology Education,Journal
351,International Journal of Industrial Organization,Journal
352,"Journal of Medical Devices, Transactions of the ASME",Journal
353,International Journal of Human Computer Studies,Journal
355,Journal of Mechanical Science and Technology,Journal
359,"Journal of Energy Resources Technology, Transactions of the ASME",Journal
361,International Journal of Electronics,Journal
366,SAE International Journal of Passenger Cars - Mechanical Systems,Journal
367,Journal of Water Resources Planning and Management,Journal
368,Journal of Management in Engineering,Journal
369,International Journal of Multiphase Flow,Journal
370,International Journal of Precision Engineering and Manufacturing,Journal
375,Journal of Nonlinear Science,Journal
384,Journal of Tissue Engineering,Journal
395,Journal of Power Sources,Journal